Flow Duration,Total Fwd Packet,Total Bwd packets,Fwd Packet Length Max,Bwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow IAT Mean,Label,Traffic Type
30603192.0,3.0,0.0,1356.0,0.0,1349.3333333333333,0.0,15301596.0,Malicious,DoS
14451085.0,2.0,0.0,1368.0,0.0,1368.0,0.0,14451085.0,Malicious,DoS
43962631.0,3.0,0.0,1356.0,0.0,1356.0,0.0,21981315.5,Malicious,DoS
14654678.0,2.0,1.0,1356.0,0.0,1356.0,0.0,7327339.0,Malicious,DoS
20015548.0,2.0,0.0,50.0,0.0,50.0,0.0,20015548.0,Malicious,DoS
8963257.0,2.0,1.0,50.0,0.0,50.0,0.0,4481628.5,Malicious,DoS
42102596.0,6.0,1.0,500.0,0.0,496.6666666666667,0.0,7017099.333333333,Malicious,DoS
49056766.0,6.0,0.0,500.0,0.0,496.6666666666667,0.0,9811353.2,Malicious,DoS
1564245.0,2.0,0.0,38.0,0.0,38.0,0.0,1564245.0,Malicious,Mirai
13001223.0,3.0,0.0,500.0,0.0,500.0,0.0,6500611.5,Malicious,DoS
27057565.0,4.0,0.0,500.0,0.0,495.0,0.0,9019188.333333334,Malicious,DoS
30199202.0,2.0,0.0,50.0,0.0,40.0,0.0,30199202.0,Malicious,DoS
13123328.0,2.0,0.0,500.0,0.0,490.0,0.0,13123328.0,Malicious,DoS
44436622.0,4.0,0.0,50.0,0.0,50.0,0.0,14812207.333333334,Malicious,DoS
30216987.0,2.0,0.0,1356.0,0.0,1346.0,0.0,30216987.0,Malicious,DoS
52108315.0,4.0,0.0,500.0,0.0,500.0,0.0,17369438.333333332,Malicious,DoS
32237314.0,3.0,0.0,500.0,0.0,493.3333333333333,0.0,16118657.0,Malicious,DoS
54818077.0,4.0,1.0,1356.0,0.0,1356.0,0.0,13704519.25,Malicious,DoS
33143481.0,2.0,0.0,500.0,0.0,490.0,0.0,33143481.0,Malicious,DoS
46831444.0,4.0,1.0,50.0,0.0,50.0,0.0,11707861.0,Malicious,DoS
10808346.0,3.0,0.0,50.0,0.0,50.0,0.0,5404173.0,Malicious,DoS
3819659.0,2.0,1.0,30.0,0.0,30.0,0.0,1909829.5,Malicious,DoS
5144403.0,2.0,0.0,0.0,0.0,0.0,0.0,5144403.0,Malicious,Information Gathering
13010817.0,2.0,0.0,50.0,0.0,50.0,0.0,13010817.0,Malicious,DoS
38722352.0,2.0,0.0,50.0,0.0,50.0,0.0,38722352.0,Malicious,DoS
3830706.0,2.0,0.0,30.0,0.0,30.0,0.0,3830706.0,Malicious,DoS
49784152.0,2.0,1.0,50.0,0.0,50.0,0.0,24892076.0,Malicious,DoS
20271544.0,2.0,1.0,50.0,0.0,40.0,0.0,10135772.0,Malicious,DoS
106650.0,1.0,1.0,500.0,0.0,500.0,0.0,106650.0,Malicious,DoS
49067143.0,2.0,1.0,500.0,0.0,500.0,0.0,24533571.5,Malicious,DoS
51746688.0,7.0,0.0,50.0,0.0,47.14285714285714,0.0,8624448.0,Malicious,DoS
30133349.0,5.0,0.0,50.0,0.0,46.0,0.0,7533337.25,Malicious,DoS
122145.0,1.0,1.0,50.0,0.0,50.0,0.0,122145.0,Malicious,DoS
53184941.0,2.0,0.0,1356.0,0.0,1356.0,0.0,53184941.0,Malicious,DoS
20154071.0,2.0,0.0,500.0,0.0,490.0,0.0,20154071.0,Malicious,DoS
11695.0,1.0,1.0,50.0,50.0,50.0,50.0,11695.0,Malicious,Bruteforce
42228814.0,3.0,1.0,500.0,0.0,500.0,0.0,14076271.333333332,Malicious,DoS
20053620.0,3.0,0.0,500.0,0.0,500.0,0.0,10026810.0,Malicious,DoS
30992754.0,3.0,0.0,50.0,0.0,50.0,0.0,15496377.0,Malicious,DoS
18344855.0,4.0,0.0,50.0,0.0,50.0,0.0,6114951.666666667,Malicious,DoS
42978114.0,2.0,1.0,50.0,0.0,50.0,0.0,21489057.0,Malicious,DoS
45297889.0,6.0,1.0,50.0,0.0,46.66666666666666,0.0,7549648.166666667,Malicious,DoS
30164408.0,4.0,1.0,50.0,0.0,50.0,0.0,7541102.000000001,Malicious,DoS
19529151.0,4.0,1.0,50.0,0.0,50.0,0.0,4882287.75,Malicious,DoS
39068885.0,3.0,0.0,500.0,0.0,493.3333333333333,0.0,19534442.5,Malicious,DoS
22036668.0,2.0,1.0,500.0,0.0,490.0,0.0,11018334.0,Malicious,DoS
20030927.0,3.0,1.0,500.0,0.0,493.3333333333333,0.0,6676975.666666666,Malicious,DoS
23357871.0,3.0,1.0,50.0,0.0,43.333333333333336,0.0,7785957.0,Malicious,DoS
15933474.0,2.0,1.0,500.0,0.0,490.0,0.0,7966737.0,Malicious,DoS
13613592.0,2.0,1.0,50.0,0.0,50.0,0.0,6806796.0,Malicious,DoS
78173039.0,4.0,0.0,1368.0,0.0,379.5,0.0,26057679.666666664,Malicious,DoS
46419232.0,2.0,0.0,50.0,0.0,50.0,0.0,46419232.0,Malicious,DoS
6913049.0,2.0,0.0,500.0,0.0,490.0,0.0,6913049.0,Malicious,DoS
5067992.0,5.0,4.0,531.0,785.0,106.2,196.25,633499.0,Malicious,DoS
3066238.0,2.0,0.0,500.0,0.0,500.0,0.0,3066238.0,Malicious,DoS
9943451.0,2.0,0.0,50.0,0.0,40.0,0.0,9943451.0,Malicious,DoS
55334799.0,2.0,1.0,1356.0,0.0,1356.0,0.0,27667399.5,Malicious,DoS
25715685.0,2.0,1.0,500.0,0.0,500.0,0.0,12857842.5,Malicious,DoS
40353276.0,7.0,0.0,500.0,0.0,497.1428571428572,0.0,6725546.0,Malicious,DoS
